,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,v_ma5,v_ma10,pct_change,range
9,600237.SH,20241112,7.91,7.92,7.5,7.58,7.9,-0.3200000000000003,-4.05,400627.82,308126.535,7.667999999999999,7.7170000000000005,464998.24399999995,608237.797,-0.040506329113924044,0.41999999999999993
10,600237.SH,20241113,7.62,7.67,7.41,7.62,7.58,0.040000000000000036,0.53,247539.0,186742.931,7.714,7.7,413876.112,547637.426,0.005277044854881341,0.2599999999999998
11,600237.SH,20241114,7.62,7.81,7.31,7.35,7.62,-0.27000000000000046,-3.54,392704.38,298424.742,7.653999999999999,7.598000000000001,402699.77,465422.93799999997,-0.03543307086614178,0.5
12,600237.SH,20241115,7.37,7.54,7.18,7.24,7.35,-0.10999999999999943,-1.5,357032.92,262064.923,7.537999999999999,7.569,359572.99799999996,422632.50999999995,-0.014965986394557707,0.3600000000000003
13,600237.SH,20241118,7.25,7.35,6.85,6.91,7.24,-0.33000000000000007,-4.56,294699.0,206936.045,7.340000000000001,7.509,338520.624,408196.299,-0.045580110497237536,0.5
14,600237.SH,20241119,6.91,7.11,6.89,7.07,6.91,0.16000000000000014,2.32,193557.82,135607.876,7.2379999999999995,7.453,297106.62399999995,381052.434,0.02315484804630974,0.22000000000000064
15,600237.SH,20241120,7.08,7.24,7.05,7.22,7.07,0.14999999999999947,2.12,204802.05,146589.792,7.1579999999999995,7.436,288559.234,351217.67300000007,0.021216407355021172,0.1900000000000004
16,600237.SH,20241121,7.19,7.3,7.11,7.23,7.22,0.010000000000000675,0.14,177417.82,127805.339,7.134,7.394,245501.92200000002,324100.846,0.0013850415512466352,0.1899999999999995
17,600237.SH,20241122,7.22,7.44,7.0,7.0,7.23,-0.23000000000000043,-3.18,298739.89,216070.512,7.086,7.312,233843.31600000002,296708.157,-0.03181189488243441,0.4400000000000004
18,600237.SH,20241125,7.05,7.14,6.89,7.03,7.0,0.03000000000000025,0.43,198838.23,139231.168,7.109999999999999,7.225,214671.162,276595.89300000004,0.004285714285714226,0.25
19,600237.SH,20241126,7.02,7.05,6.84,6.88,7.03,-0.15000000000000036,-2.13,187064.22,129699.359,7.072,7.154999999999999,213372.44199999998,255239.533,-0.02133712660028453,0.20999999999999996
20,600237.SH,20241127,6.85,7.01,6.65,7.0,6.88,0.1200000000000001,1.74,206733.47,140874.113,7.0280000000000005,7.093000000000001,213758.72600000002,251158.98000000004,0.01744186046511631,0.35999999999999943
21,600237.SH,20241128,7.01,7.32,7.0,7.17,7.0,0.16999999999999993,2.43,281004.74,202342.895,7.016,7.075,234476.10999999996,239989.01599999997,0.024285714285714244,0.3200000000000003
22,600237.SH,20241129,7.11,7.27,7.03,7.2,7.17,0.03000000000000025,0.42,199465.0,142745.349,7.056,7.071,214621.13200000004,224232.224,0.004184100418409997,0.23999999999999932
23,600237.SH,20241202,7.22,7.35,7.19,7.33,7.2,0.1299999999999999,1.81,193790.35,141146.484,7.116,7.1129999999999995,213611.556,214141.359,0.01805555555555549,0.15999999999999925
24,600237.SH,20241203,7.33,7.37,7.19,7.33,7.33,0.0,0.0,187964.82,136799.616,7.206,7.1389999999999985,213791.67599999998,213582.05899999998,0.0,0.17999999999999972
25,600237.SH,20241204,7.3,7.48,7.19,7.25,7.33,-0.08000000000000007,-1.09,172501.0,126198.732,7.256,7.141999999999999,206945.182,210351.954,-0.010914051841746208,0.29000000000000004
